name,lat,lon
"Abbeville, MS",34.5030556,-89.5030556
"Abbott, MS",33.6800000,-88.7744444
"Abdan, MS",32.6138889,-89.5666667
"Aberdeen, MS",33.8250000,-88.5436111
"Aberdeen Junction, MS",33.0325000,-89.8775000
"Abney, MS",34.2133333,-88.4869444
"Ackerman, MS",33.3100000,-89.1727778
"Acme, MS",31.9675000,-89.1733333
"Acona, MS",33.2716667,-90.0161111
"Adair, MS",33.3136111,-90.0905556
"Adams, MS",32.1597222,-90.5605556
"Adams Landing, MS",32.5702778,-90.7266667
"Adaton, MS",33.4772222,-88.9213889
"Addie, MS",32.9872222,-91.0758333
"Adelle, MS",32.5055556,-90.4055556
"Agricola, MS",30.8075000,-88.5200000
"Aiken, MS",34.6308333,-89.7397222
"Airey, MS",30.6483333,-89.0772222
"Akron, MS",32.7408333,-88.5247222
"Alamucha, MS",32.3586111,-88.4686111
"Albeison, MS",31.4911111,-89.2791667
"Albin, MS",33.9133333,-90.3297222
"Alcorn, MS",31.8777778,-91.1391667
"Aldens, MS",34.9333333,-90.0247222
"Aldridge, MS",33.3619444,-90.9097222
"Alesville, MS",34.3650000,-89.6041667
"Algoma, MS",34.1761111,-89.0311111
"Alhambra, MS",33.0277778,-91.0600000
"Alice, MS",32.9108333,-89.2800000
"Allen, MS",32.0016667,-91.0036111
"Allentown, MS",34.8572222,-88.6050000
"Alligator, MS",34.0894444,-90.7194444
"Almy, MS",33.3491667,-90.8791667
"Alonzo, MS",32.0502778,-90.2152778
"Alphaba, MS",34.7738889,-89.8736111
"Alpine, MS",34.4952778,-88.7977778
"Altitude, MS",34.6683333,-88.4430556
"Altus, MS",34.3408333,-89.3961111
"Alva, MS",33.6377778,-89.5072222
"Amory, MS",33.9841667,-88.4880556
"Amy, MS",31.7772222,-89.2583333
"Anchor, MS",33.8266667,-89.0380556
"Anchorage, MS",32.9313889,-90.6141667
"Anderson, MS",32.5591667,-90.2450000
"Anderson Landing, MS",34.1397222,-90.8666667
"Anding, MS",32.6919444,-90.3977778
"Anguilla, MS",32.9738889,-90.8244444
"Anna, MS",31.6966667,-91.3513889
"Annandale, MS",32.5147222,-90.1883333
"Anse, MS",32.1188889,-90.1008333
"Ansley, MS",30.2250000,-89.4836111
"Antioch, MS",31.6336111,-89.0580556
"Applewood, MS",34.2897222,-88.7225000
"Arbo, MS",31.7266667,-89.6338889
"Arcola, MS",33.2697222,-90.8797222
