name,lat,lon
"Abbot Village, ME",45.1863889,-69.4525000
"Abbotts Mill, ME",44.4758333,-70.6325000
"Acadia, ME",46.9861111,-68.0322222
"Acton, ME",43.5341667,-70.9102778
"Adaline, ME",46.7619444,-68.1244444
"Adams, ME",45.3275000,-68.9011111
"Adams Corner, ME",43.4125000,-70.4416667
"Addison, ME",44.6183333,-67.7447222
"Admiralty Village, ME",43.0925000,-70.7302778
"Agamenticus Station, ME",43.2438889,-70.7755556
"Agamenticus Village, ME",43.2152778,-70.6705556
"Airport Village, ME",43.4700000,-70.4841667
"Albion, ME",44.5322222,-69.4430556
"Alewife, ME",43.4527778,-70.6102778
"Alexander, ME",45.0886111,-67.4688889
"Alfred, ME",43.4763889,-70.7188889
"Alfred Mills, ME",43.4638889,-70.7025000
"Allagash, ME",47.0833333,-69.0416667
"Allens Mills, ME",44.7161111,-70.0816667
"Alna, ME",44.1061111,-69.6041667
"Alna Center, ME",44.0808333,-69.6186111
"Alton, ME",45.0313889,-68.7291667
"Amherst, ME",44.8333333,-68.3647222
"Andover, ME",44.6355556,-70.7516667
"Anson, ME",44.7983333,-69.8897222
"Appleton, ME",44.2891667,-69.2513889
"Archers Corners, ME",44.8313889,-68.4450000
"Arey, ME",44.7227778,-68.8722222
"Argyle, ME",45.0541667,-68.6727778
"Arnold Corner, ME",44.7383333,-69.0652778
"Arnolds Landing, ME",44.9566667,-69.8700000
"Arrowsic, ME",43.8497222,-69.7786111
"Arundel, ME",43.3825000,-70.4783333
"Ash Point, ME",44.0555556,-69.0872222
"Ashdale, ME",43.7675000,-69.8394444
"Ashland, ME",46.6311111,-68.4066667
"Ashville, ME",44.4877778,-68.1216667
"Asticou, ME",44.3038889,-68.2822222
"Athearns Corner, ME",44.2730556,-69.1663889
"Athens, ME",44.9230556,-69.6733333
"Atkinson Mills, ME",45.1597222,-69.0827778
"Atlantic, ME",44.1716667,-68.4247222
"Attean Landing, ME",45.5875000,-70.2780556
"Auburn, ME",44.0977778,-70.2316667
"Auburn Plains, ME",44.1758333,-70.2322222
"Augusta, ME",44.3105556,-69.7800000
"Aurora, ME",44.8541667,-68.3286111
"Avon, ME",44.8061111,-70.2716667
"Avon Corner, ME",44.8002778,-70.2661111
"Ayers, ME",44.9844444,-67.2386111
"Babb Corner, ME",43.6297222,-70.4505556
"Back Narrows, ME",43.8927778,-69.5925000
"Back Settlement, ME",47.1563889,-68.8705556
"Bailey Corner, ME",44.1722222,-69.7450000
"Bailey Island, ME",43.7275000,-69.9955556
