name,lat,lon
"Achille, OK",33.8333333,-96.3869444
"Acme, OK",34.7988889,-98.0188889
"Ada, OK",34.7744444,-96.6780556
"Adair, OK",36.4366667,-95.2711111
"Adams, OK",36.7563889,-101.0766667
"Adamson, OK",34.9238889,-95.5469444
"Addielee, OK",35.9588889,-94.6366667
"Addington, OK",34.2444444,-97.9666667
"Adel, OK",34.5791667,-95.5941667
"Afton, OK",36.6936111,-94.9627778
"Agawam, OK",34.8733333,-97.9458333
"Agra, OK",35.8947222,-96.8719444
"Ahloso, OK",34.7350000,-96.6372222
"Akins, OK",35.5069444,-94.6905556
"Albany, OK",33.8813889,-96.1625000
"Albert, OK",35.2327778,-98.4111111
"Albion, OK",34.6627778,-95.0997222
"Alcorn, OK",36.6130556,-97.3927778
"Alden, OK",34.9752778,-98.5850000
"Alderson, OK",34.9000000,-95.6916667
"Aledo, OK",35.8272222,-99.1238889
"Alex, OK",34.9147222,-97.7783333
"Alfalfa, OK",35.2188889,-98.6069444
"Alikchi, OK",34.1627778,-95.0688889
"Aline, OK",36.5097222,-98.4486111
"Allen, OK",34.8788889,-96.4122222
"Allison, OK",33.8958333,-96.3713889
"Alluwe, OK",36.6102778,-95.4869444
"Alma, OK",34.4194444,-97.6119444
"Alpers, OK",34.4925000,-97.3869444
"Alpha, OK",35.8702778,-98.1000000
"Alston, OK",36.4361111,-99.2900000
"Alsuma, OK",36.0950000,-95.8633333
"Altona, OK",35.7830556,-98.1708333
"Altus, OK",34.6380556,-99.3336111
"Alva, OK",36.8050000,-98.6661111
"Amabel, OK",36.0108333,-96.8377778
"Amber, OK",35.1602778,-97.8788889
"America, OK",33.8152778,-94.5483333
"Ames, OK",36.2458333,-98.1850000
"Amorita, OK",36.9244444,-98.2913889
"Anadarko, OK",35.0725000,-98.2433333
"Anchor, OK",35.8355556,-95.4027778
"Anderson, OK",35.8263889,-96.9900000
"Anthon, OK",35.7402778,-99.0127778
"Antioch, OK",34.7250000,-97.4052778
"Antlers, OK",34.2311111,-95.6200000
"Apache, OK",34.8936111,-98.3655556
"Apache Wye, OK",35.0436111,-98.3563889
"Apperson, OK",36.7511111,-96.7658333
"Apple, OK",34.1275000,-95.4172222
"Aqua Park, OK",35.6202778,-95.0758333
"Arapaho, OK",35.5777778,-98.9641667
"Arcadia, OK",35.6666667,-97.3263889
"Arch, OK",34.7744444,-95.6608333
"Ardmore, OK",34.1741667,-97.1433333
"Arkoma, OK",35.3544444,-94.4338889
"Arlington, OK",35.5788889,-96.6794444
"Armstrong, OK",34.0513889,-96.3450000
"Arnett, OK",36.1350000,-99.7744444
"Aron, OK",35.6825000,-96.5119444
"Arpelar, OK",34.9419444,-95.9652778
"Artillery Village, OK",34.6388889,-98.4136111
"Asher, OK",34.9894444,-96.9233333
"Ashland, OK",34.7677778,-96.0694444
"Ashley, OK",36.8044444,-98.5244444
"Asphaltum, OK",34.2600000,-97.6747222
"Atlee, OK",34.0933333,-97.6322222
"Atoka, OK",34.3858333,-96.1280556
"Atwood, OK",34.9561111,-96.3383333
"Autwine, OK",36.7219444,-97.2297222
"Avant, OK",36.4894444,-96.0619444
"Avard, OK",36.6988889,-98.7886111
"Avery, OK",35.8841667,-96.7519444
"Avoca, OK",35.0138889,-96.9302778
"Aydelotte, OK",35.4441667,-96.9113889
"Aylesworth, OK",34.0280556,-96.6263889
"Babbs, OK",34.9483333,-99.0591667
"Bache, OK",34.8941667,-95.6483333
"Bacone, OK",35.7669444,-95.3400000
"Bado, OK",36.2169444,-98.7425000
"Bailey, OK",34.7161111,-97.7977778
"Baker, OK",36.8694444,-101.0175000
"Bald Hill, OK",35.7402778,-95.8369444
"Baldridge, OK",35.3619444,-94.6197222
"Balko, OK",36.6300000,-100.6844444
"Ballard, OK",36.0944444,-94.5891667
"Ballou, OK",36.1458333,-95.1900000
"Banner, OK",35.5127778,-97.8486111
"Banty, OK",34.0697222,-96.0947222
"Banzet, OK",36.9427778,-95.2513889
"Barber, OK",35.7572222,-94.8675000
"Barnsdall, OK",36.5619444,-96.1613889
"Baron, OK",35.9236111,-94.6161111
"Barr, OK",36.2325000,-98.0333333
"Bartlesville, OK",36.7472222,-95.9805556
"Battiest, OK",34.3933333,-94.9247222
"Baugh, OK",36.2188889,-96.3172222
"Baum, OK",34.2680556,-96.9805556
"Beachton, OK",34.4905556,-94.5663889
"Bearden, OK",35.3480556,-96.3883333
"Beaver, OK",36.8161111,-100.5194444
"Bebee, OK",34.8450000,-96.7913889
"Beckwith, OK",36.1969444,-94.7097222
"Bedwell, OK",35.1597222,-94.7166667
"Bee, OK",34.1219444,-96.5719444
"Beggs, OK",35.7425000,-96.0700000
"Beland, OK",35.6916667,-95.5355556
"Belfonte, OK",35.5441667,-94.5547222
"Bell, OK",35.7180556,-94.5758333
"Bellemont, OK",35.4630556,-96.7708333
"Belleville, OK",33.9255556,-97.5433333
"Bellvue, OK",35.9008333,-96.3869444
"Belva, OK",36.4988889,-98.9747222
"Belzoni, OK",34.1855556,-95.4652778
"Bender, OK",36.9330556,-97.1372222
"Bengal, OK",34.8327778,-95.0616667
"Bennington, OK",34.0044444,-96.0375000
"Bentley, OK",34.2147222,-96.0786111
"Berch Hole, OK",35.8272222,-95.1008333
"Berlin, OK",35.4505556,-99.6250000
"Bernice, OK",36.6158333,-94.9175000
"Bessie, OK",35.3858333,-98.9877778
"Bethany, OK",35.5186111,-97.6319444
"Bethel, OK",34.3597222,-94.8372222
"Bethel Acres, OK",35.3086111,-97.0252778
"Big Cabin, OK",36.5377778,-95.2211111
"Big Cedar, OK",34.6458333,-94.6486111
"Big Rocks, OK",34.2294444,-95.5727778
"Bigheart, OK",36.8516667,-96.2255556
"Billings, OK",36.5288889,-97.4436111
"Bills Corner, OK",36.2900000,-97.0672222
"Binger, OK",35.3088889,-98.3416667
"Bison, OK",36.1963889,-97.8897222
"Bixby, OK",35.9419444,-95.8830556
"Black Bear, OK",36.3405556,-97.2194444
"Blackburn, OK",36.3730556,-96.5958333
"Blackgum, OK",35.6097222,-94.9894444
